,person_id,treatment
0,48tyzy69uc,Control
1,rvsmw4ntbk,Control
2,6xhygzch2q,Control
3,fkweha6hyt,Control
4,pd69kskq86,Control
5,qu6jhmcd4y,Control
6,nbxpzvkw4q,Control
7,l2m4fn3klh,Control
8,qw4753bjdd,Control
9,ejttjeqnaw,Control
10,wtjfzwfpmv,Control
11,xarbesc3zg,Control
12,6tg5d6nbuu,Control
13,yznj7zkhfj,Control
14,36yp4u2hjd,Control
15,xwgrqpdnu6,Control
16,4sbxctumay,Control
17,kptbsdre98,Control
18,6vgljd527p,Control
19,hxhw6yus62,Control
20,4kcsh78hvt,Control
21,r5lhs5p5ll,Control
22,qqxhshvump,Control
23,zwf7l84tw5,Control
24,m9e69tlyfl,Control
25,kdfnqqu83a,Control
26,e6sjrbf35n,Control
27,jmjr6d3dww,Control
28,za4by6rkrq,Control
29,vb8ucg72wp,Control
30,bxxzzhh9yq,Control
31,9jh53dtpkv,Control
32,a85r3uqt9r,Control
33,ummcmq7dwg,Control
34,a43z6l9vjp,Control
35,4b8aqp9lfq,Control
36,aqsehhaged,Control
37,k5ys3ws2cw,Control
38,c6974c5jwj,Control
39,3ys2samtsp,Control
40,jg6w3u94hx,Control
41,5eucvuzq3e,Control
42,2ck6ks2g95,Control
43,3azbqclyjs,Control
44,7p32mk34uj,Control
45,qxj5x9umck,Control
46,3u8e5q8q6d,Control
47,xkkg4fbnts,Control
48,a9y3th3gr2,Control
49,ltqnw8qqry,Control
50,yu9arl2gf4,Control
51,nm8nqc7sq2,Control
52,7xbvfj9sgn,Control
53,t7rke6mb9t,Control
54,msjwrem7a3,Control
55,zzxe5gm6ak,Control
56,rll8lqt6ps,Control
57,l5pyp8ez79,Control
58,h6jysy9q4d,Control
59,pabn68x3lg,Control
60,n8qkwf9wrr,Control
61,9at72v8e3w,Control
62,rz4lgrkcjv,Control
63,t3mzx4mtgc,Control
64,2v4dknhta3,Control
65,hf5ulmjhyl,Control
66,ukelkh2vll,Control
67,gmwx8batzz,Control
68,l8eh5gm6jq,Control
69,8udmakyeyq,Control
70,vm7czyfdry,Control
71,xh28eg623h,Control
72,vbhnq5l32d,Control
73,sqeuddh6mx,Control
74,74bk5xe8ky,Control
75,vjsjqtd24d,Control
76,bnwkfvuu6d,Control
77,vznwgxaayj,Control
78,36dvhynbv2,Control
79,pa6eccxhu9,Control
80,z87smgqv6y,Control
81,2nqtsk36dt,Control
82,utcf7a9fq2,Control
83,wc6yy5glny,Control
84,g57g9u7mty,Control
85,ayet2c6jrr,Control
86,vp8fvgvjq7,Control
87,rerae9kbly,Control
88,rp6zlm3s7t,Control
89,d4nfghw9pz,Control
90,f52naqkfb6,Control
91,yc83m3tfl7,Control
92,hkdylgxg5j,Control
93,2pkfld84rw,Control
94,g6ecpd8mzj,Control
95,f5knbse3x3,Control
96,wp2cuzrt66,40% Dark
97,zl4fbyxd9e,40% Dark
98,wu987tduqq,40% Dark
99,mslqb86rbg,40% Dark
100,9dscy8aj42,40% Dark
101,tckq7kyvp4,40% Dark
102,57t6y4pcfe,40% Dark
103,885efw9wnk,40% Dark
104,majlea6yxc,40% Dark
105,2heh7qy45f,40% Dark
106,teeq2lac5a,40% Dark
107,h6xea9qubu,40% Dark
108,rlkbtb3e6l,40% Dark
109,qc7uurtlen,40% Dark
110,yf4ks28vr3,40% Dark
111,h8ajdx46uq,40% Dark
112,2luw66zwef,40% Dark
113,f25jeg8khv,40% Dark
114,lv3szw42av,40% Dark
115,4v27qw9hqm,40% Dark
116,k4anlatcvf,40% Dark
117,gun2q9eumj,40% Dark
118,c7lpmg7m7x,40% Dark
119,8kfw25mcry,40% Dark
120,22sb4zhfqh,40% Dark
121,xj5ja8sjul,40% Dark
122,j7stkqp4jh,40% Dark
123,ysfgr4b4fx,40% Dark
124,rfhpaefxb8,40% Dark
125,7rquubm7za,40% Dark
126,cwphvpjs5s,40% Dark
127,3plcdsyu95,40% Dark
128,kqr6cx7p5p,40% Dark
129,e3en9k5hy8,40% Dark
130,whflbxxjkl,40% Dark
131,z8esfcld98,40% Dark
132,aa7rqqwrr6,40% Dark
133,m47ky5t9st,40% Dark
134,js62fmgwyl,40% Dark
135,rhdte6puf2,40% Dark
136,74tndlh3np,40% Dark
137,tcutmc79qk,40% Dark
138,mz962sm34r,40% Dark
139,eg8ran2hg7,40% Dark
140,hkpprj4bsd,40% Dark
141,wtscl74y8c,40% Dark
142,h7w43eaa26,40% Dark
143,22t8vda89q,40% Dark
144,6zt6tazzzd,40% Dark
145,8khn25ha42,40% Dark
146,c4rt6sqnnf,40% Dark
147,dne2cgemu9,40% Dark
148,bbeys7epjw,40% Dark
149,4g5dcm37n3,40% Dark
150,jfbhscauaa,40% Dark
151,9c6b5kmpks,40% Dark
152,2wcx9a5wtd,40% Dark
153,2wbbkz6f7z,40% Dark
154,d6tvdgk8v8,40% Dark
155,4nat6ub68b,40% Dark
156,puatyaxjll,40% Dark
157,c9esp4ra4w,40% Dark
158,l76qwhudtx,40% Dark
159,cs33pbm5g2,40% Dark
160,57xzk2w5qn,40% Dark
161,3nzw8dahda,40% Dark
162,rmkwcvdld4,40% Dark
163,plfeml7z6y,40% Dark
164,dtxmtb7g3q,40% Dark
165,g9fb7ksa44,40% Dark
166,du7f2ay8sg,40% Dark
167,v8bfe42u7m,40% Dark
168,zu37q5xqv2,40% Dark
169,z8pdbptq7f,40% Dark
170,7v9lqh9j4f,40% Dark
171,cukelvzyp5,40% Dark
172,z6suyys2mn,40% Dark
173,8gxnhv3zdk,40% Dark
174,clax2nvtem,40% Dark
175,s3k7eb4afx,40% Dark
176,m23rrf4s8z,40% Dark
177,ph5k7ykn9e,40% Dark
178,ubd2mjjywj,40% Dark
179,nf9dhep5f8,40% Dark
180,cz9hexx3u8,40% Dark
181,vekt3uqthw,40% Dark
182,tx6ze5atxt,40% Dark
